gem_name,dependency_type,count
qualitysmith_extensions,runtime,3
mwmitchell-rsolr,runtime,3
bard-rake,runtime,3
googlebase,runtime,3
faker,development,3
neo4jr-simple,runtime,3
string-mapper,runtime,3
freshbooks,runtime,3
visionmedia-terminal-table,runtime,3
radiant-forms-extension,runtime,3
rake-compiler,runtime,3
arcserver.rb,runtime,3
sys-admin,runtime,3
matchy,development,3
mongrel,development,3
ip,runtime,3
gom-script,runtime,3
tagz,development,3
baretest,development,3
radiant-taggable-extension,runtime,3
url_mount,runtime,3
nice-ffi,runtime,3
rubynode,runtime,3
xpcomcore-rubygem,runtime,3
github-markup,runtime,3
sys-proctable,runtime,3
macaddr,runtime,3
ghost,runtime,3
ptools,development,3
columnize,runtime,3
predicated,runtime,3
packr,runtime,3
file-tail,runtime,3
daemons,development,3
autotest-fsevent,development,3
persevere,runtime,3
dalli,runtime,3
dsl_accessor,runtime,3
declarative_authorization,runtime,3
async_sinatra,runtime,3
ruport-util,runtime,3
transaction-simple,runtime,3
tap-tasks,runtime,3
awesome_print,development,3
warden-github,runtime,3
anemone,runtime,3
sparql-client,runtime,3
sinatra-content-for,runtime,3
contextify,runtime,3
rack-plastic,runtime,3
cutest,development,3
inochi,runtime,3
construct,runtime,3
pixii,runtime,3
mongomatic,runtime,3
netaddr,runtime,3
slither,runtime,3
log4r,development,3
win32-file,runtime,3
mini_magick,development,3
jeremymcanally-context,development,3
oauth,development,3
isolate,runtime,3
sqlite3,runtime,3
multi_xml,runtime,3
datacatalog,runtime,3
buildr,runtime,3
dm-predefined,runtime,3
piston,runtime,3
subcommand,development,3
javan-whenever,runtime,3
common_name,runtime,3
simple-daemon,runtime,3
simplehttp,runtime,3
win32console,runtime,3
jsonschema,runtime,3
Rubilicious,runtime,3
localmemcache,development,3
trollop,development,3
>=,runtime,3
gccxml_gem,runtime,3
activerdf_net7,runtime,3
shindo,development,3
stackdeck,runtime,3
pg,development,3
reverse-require,runtime,3
couch_potato,runtime,3
ts-delayed-delta,runtime,3
vpim,runtime,3
jsmin,development,3
rgl,runtime,3
restr,runtime,3
eymiha,runtime,3
mcmire-context,development,3
libnotify,runtime,3
jeremymcanally-pending,development,3
flannel,runtime,3
jdbc-hsqldb,runtime,3
feedzirra,runtime,3
turn,development,3
rack_hoptoad,runtime,3
merb-ui,runtime,3
ultraviolet,runtime,3
artforge-rtranslate,runtime,3
rackspace-cloudfiles,runtime,3
notahat-machinist,runtime,3
fssm,runtime,3
ore-tasks,development,3
googlecharts,runtime,3
active_resource,runtime,3
faker,runtime,3
logging_assist,runtime,3
rtui,runtime,3
duration,runtime,3
omniauth,runtime,3
rack-useragent-filter,runtime,3
sxp,runtime,3
capistrano-helpers,runtime,3
progress,runtime,3
gemesis,development,3
ruby-debug-base19,runtime,3
rspec-action_view,development,3
formattedstring,runtime,3
logworm,runtime,3
diff-lcs,development,3
sequence,runtime,3
need,runtime,3
spec,development,3
bundler08,runtime,3
troelskn-handsoap,runtime,3
graticule,runtime,3
oauth2,development,3
ruby-activeldap,runtime,3
rainpress,runtime,3
Platform,runtime,3
kontrol,runtime,3
verbs,runtime,3
leftright,development,3
fast_timestamp,runtime,3
fortran,runtime,3
erector,development,3
weary,runtime,3
pbosetti-rubyosa,runtime,3
locomotive_carrierwave,runtime,3
ruby-debug19,development,3
haml-more,runtime,3
net-ssh-multi,runtime,3
rjack-logback,runtime,3
heroku,development,3
simple-templater,runtime,3
fast-stemmer,runtime,3
logback,development,3
rubypants,runtime,3
semver,runtime,3
elif,runtime,3
date_validator,runtime,3
sinatra-respond_to,runtime,3
eventmachine_httpserver,runtime,3
rubyntlm,runtime,3
wee,runtime,3
relevance-rcov,development,3
mixlib-log,runtime,3
ruby-json,runtime,3
show_for,runtime,3
ember,runtime,3
thoughtbot-factory_girl,development,3
gcal4ruby,runtime,3
sc-core-ext,runtime,3
devver-construct,development,3
mysqlplus,runtime,3
fast_timestamp,development,3
kgio,runtime,3
ey_recipes,runtime,3
phonology,runtime,3
supermodel,runtime,3
ean13,runtime,3
logrotate,runtime,3
MP4Info,runtime,3
htmlentities,development,3
spicycode-rcov,development,3
tap-ubiquity,runtime,3
angry_hash,runtime,3
premailer,runtime,3
servolux,runtime,3
rspec_hpricot_matchers,development,3
hashie,development,3
mixlib-cli,runtime,3
randexp,runtime,3
fancypath,runtime,3
sinatra-static-assets,runtime,3
differ,development,3
pdf-reader,runtime,3
jzip,runtime,3
splib,runtime,3
radiant-fabulator-extension,runtime,3
